@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
15,6,False,False,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,2,11,East
16,6,False,False,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,1,10,East
17,6,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,9,East
18,6,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,8,East
19,6,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,7,East
20,6,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,6,East
21,6,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,5,East
22,6,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,4,East
23,6,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,3,East
24,6,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,2,East
25,6,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,25,7,-1,-1,-1,1,North
14,1,False,False,True,True,True,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,East
15,1,True,False,True,True,True,True,True,True,True,10,13,14,13,14,13,17,13,17,13,13,13,North
15,2,True,True,False,False,True,True,True,True,True,11,13,14,14,14,13,16,13,15,13,12,13,North
15,3,False,True,True,False,True,True,True,True,True,12,13,14,14,14,14,17,13,13,12,12,12,East
16,3,False,False,True,True,True,True,True,True,True,11,13,13,14,14,14,17,13,15,14,13,11,East
17,3,False,False,True,True,True,True,True,True,True,10,13,13,13,14,14,17,13,17,14,14,11,East
18,3,True,False,False,True,True,True,True,True,True,11,13,14,13,14,14,16,13,17,14,15,12,North
18,4,True,True,False,False,True,True,True,True,True,10,13,13,13,14,15,16,13,17,14,15,11,North
18,5,True,True,False,False,True,True,True,True,True,11,13,13,14,13,15,16,13,15,14,15,9,North
18,6,False,True,True,True,True,True,True,True,True,11,13,13,13,14,15,17,13,14,12,13,8,East
19,6,False,False,True,True,True,True,True,True,True,12,13,13,13,15,15,17,13,14,13,13,9,East
20,6,False,False,True,True,True,True,True,True,True,13,13,12,13,14,15,17,13,14,15,15,11,East
21,6,True,True,False,True,True,True,True,True,True,13,13,12,13,13,15,16,13,15,16,17,13,North
21,7,True,True,False,False,True,True,True,True,True,14,13,11,13,12,15,15,13,13,16,17,13,North
21,8,True,True,False,False,True,True,True,True,True,14,13,11,13,12,16,14,13,12,15,17,13,North
