@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,0,0,0,10,-1,-1,-1,209,5,2552,2551
1,0,0,0,8,-1,-1,-1,209,4,2551,2550
1,0,0,0,6,-1,-1,-1,209,4,2550,2549
1,0,0,0,5,-1,-1,-1,209,3,2549,2548
1,0,0,0,5,-1,-1,-1,209,2,2548,2547
1,0,0,0,5,-1,-1,-1,209,1,2547,2646
1,0,0,0,3,-1,-1,-1,208,1,2646,2745
1,0,0,0,3,-1,-1,-1,207,1,2745,2844
1,0,0,0,3,-1,-1,-1,206,1,2844,2943
1,0,0,0,2,-1,-1,-1,205,1,2943,3142
1,1,1,1,14,12,15,21,121,2,0,-1
1,1,1,1,14,11,15,20,121,2,-1,-2
1,1,1,1,13,10,14,19,121,2,-2,-3
1,1,1,1,13,11,13,18,121,2,-3,-4
1,1,1,1,12,12,12,19,121,2,-4,-5
1,1,1,1,11,12,10,19,121,1,-5,-6
1,1,1,1,9,11,8,18,121,1,-6,93
1,1,1,1,7,9,7,17,120,1,93,192
1,1,1,1,7,8,6,15,119,1,192,191
1,1,1,1,9,10,8,17,119,1,191,190
1,1,1,1,9,10,10,17,119,1,190,189
1,1,1,1,11,12,12,19,119,1,189,288
1,1,1,1,9,11,12,19,118,1,288,387
1,1,1,1,8,11,12,19,117,1,387,386
1,1,1,1,7,9,12,19,117,1,386,485
1,1,1,1,5,7,13,17,116,1,485,584
1,1,1,1,4,5,15,16,115,1,584,583
1,1,1,1,4,4,16,17,115,1,583,582
1,1,1,1,2,4,16,17,115,1,582,881
0,1,1,1,-1,3,16,15,114,1,881,980
0,1,1,1,-1,3,14,15,113,1,980,1079
0,1,1,1,-1,3,12,15,112,1,1079,1178
0,1,1,1,-1,3,10,14,111,1,1178,1277
0,1,1,1,-1,3,12,16,110,1,1277,1276
0,1,1,1,-1,1,14,18,110,2,1276,1475
0,0,1,1,-1,-1,15,20,110,1,1475,1574
0,0,1,1,-1,-1,16,20,109,1,1574,1673
0,0,1,1,-1,-1,16,22,108,1,1673,1772
0,0,1,1,-1,-1,18,24,107,1,1772,1771
0,0,1,1,-1,-1,16,22,107,1,1771,1770
0,0,1,1,-1,-1,15,22,107,1,1770,1769
